epoch,train_loss,train_acc,test_loss,test_acc
0,7.212708289525947,3.716,5.3040960770619066,9.26
1,6.3660294948791964,7.461,5.643406270425531,15.38
2,5.858136903266518,13.411,5.406904582735859,23.17
3,5.438702241498596,20.147,4.444227967081191,30.13
4,5.070376309813286,26.355,4.031775945349585,36.97
5,4.7632147925240655,31.636000000000003,3.9070292847065984,40.65
6,4.499547091065621,35.076,3.9851594423945946,41.86
7,4.30196236712592,37.57,3.5987017426309706,44.12
8,4.149349897491689,39.483000000000004,3.49440598487854,45.47
9,4.00536291392482,41.149,3.443357060227213,47.36
10,3.887487609775699,42.852999999999994,3.649042705946331,46.77
11,3.78458587977351,43.931,2.9187718614747253,52.14
12,3.6862516810699386,45.296,2.9251066069059735,51.9
13,3.5930997242732925,46.405,2.907502548604072,52.96
14,3.500787370058955,47.601,3.088793419584443,52.79
15,3.423384901212186,48.525999999999996,3.082669535769692,53.41
16,3.3358111953248786,49.664,2.950506009633028,53.4
17,3.2683117122066263,50.253,2.955330664598489,53.76
18,3.188525700447511,51.288,2.99593612212169,53.19
19,3.1202089537163173,52.18,2.967157646070553,56.34
20,3.045875401521216,53.136,3.0053795289389695,55.67
21,2.9710693359375,53.965,3.0755484768106967,55.42
22,2.8995347649467234,54.905,2.940099154846578,56.01
23,2.8308425715991428,55.739999999999995,3.0691631655149822,55.72
24,2.7593198157086665,56.445,3.051617305490035,56.02
25,2.679676863611961,57.524,3.152926336360883,56.76
26,2.6054632450853075,58.331999999999994,3.16547058503839,56.6
27,2.5411067744907068,59.129,3.236126993275896,54.92
28,2.4613834628645255,60.199,3.2123402251472957,56.19
29,2.4004916004380403,60.829,3.4937121294721774,54.73
30,1.7173107691955565,59.134,1.675628441798536,58.52
31,1.7763903399658203,58.257999999999996,1.6525020644634585,60.44
32,1.801495235595703,58.262,1.6289438129980354,61.15
33,1.8056979824829102,58.323,1.6283915193775031,61.5
34,1.8603262338256836,57.900999999999996,1.6576027357125585,60.69
35,1.8938622831726075,57.343,1.655916361869136,61.32
36,1.906995285949707,57.468999999999994,1.6694855840900276,61.53
37,1.9676764630126953,56.682,1.6772787208798565,61.22
38,1.9920199340820313,56.446,1.7026138652729084,61.32
